Company name,Deal date,Investment amount,Incorporation date,Current stage,Exit date,Exit price
MusicQubed,2016/7/19,1189454,19/08/2010,Dead,20/08/2018,0
MusterApp,2017/5/18,64770,27/08/2016,Dead,01/07/2020,0
Muzeums,2015/12/7,60260,07/01/2015,Dead,20/03/2018,0
My Ageing Parent,2015/3/19,100000,14/06/2013,Dead,15/01/2019,0
My Day My Way,2014/12/19,75000,14/01/2014,Dead,18/05/2017,0
My Destination,2012/8/10,277999,12/03/2008,Dead,06/07/2016,0
My Destination,2014/2/1,510600,12/03/2008,Dead,06/07/2016,0
My Destination,2010/9/1,550004,12/03/2008,Dead,06/07/2016,0
My Fairy Gift Mother,2017/1/23,10000,09/12/2008,Dead,06/11/2017,0
My Fairy Gift Mother,2015/11/18,24000,09/12/2008,Dead,06/11/2017,0
My Flash Trash,2013/1/18,62475,25/10/2010,Exited,02/08/2016,1948375.002
My Help at Home,2015/5/22,27994,01/10/2014,Dead,08/06/2017,0
My Italian Cook,2018/3/30,99984,31/12/2014,Dead,15/07/2020,0
My Phone Club,2013/12/23,230000,11/06/2009,Dead,07/09/2015,0
My Study Life,2015/12/29,96159,04/06/2014,Dead,27/06/2019,0
My Style Wish,2016/11/11,35002,19/08/2015,Dead,31/12/2019,0
My Style Wish,2015/11/10,30000,19/08/2015,Dead,31/12/2019,0
My Style Wish,2017/8/31,50000,19/08/2015,Dead,31/12/2019,0
My Vote,2015/3/31,150000,02/05/2013,Dead,14/03/2017,0
My Vote,2013/12/2,150000,02/05/2013,Dead,14/03/2017,0
My Vote,2015/6/16,46500,02/05/2013,Dead,14/03/2017,0
MyAppConverter,2014/1/30,850000,13/12/2013,Dead,30/04/2019,0
MyAppConverter,2015/2/10,654994,13/12/2013,Dead,30/04/2019,0
MyCarGossip,2014/6/2,30830,08/10/2012,Dead,08/09/2016,0
MyDrive,2013/4/24,1500339,29/07/2010,Exited,23/07/2015,12631888
MyFav,2018/1/19,125000,13/01/2017,Dead,24/04/2019,0
MyGravity,2016/2/20,480467,14/07/2014,Dead,16/11/2018,0
MyHigh,2014/12/8,10952,15/12/2011,Dead,16/02/2017,0
MyHigh,2013/1/23,145000,15/12/2011,Dead,16/02/2017,0
MyHigh,2013/12/6,50000,15/12/2011,Dead,16/02/2017,0
MyHigh,2015/3/31,29000,15/12/2011,Dead,16/02/2017,0
MyLiveGuard,2016/4/14,226481,19/04/2013,Dead,27/11/2018,0
MyLiveGuard,2017/3/24,75002,19/04/2013,Dead,27/11/2018,0
MyLiveGuard,2014/11/27,75000,19/04/2013,Dead,27/11/2018,0
MyOptique Group,2011/2/8,6080763,27/05/2004,Exited,17/08/2016,120000000
MyOptique Group,2012/1/31,1000174,27/05/2004,Exited,17/08/2016,120000000
MyOptique Group,2014/6/22,8742421,27/05/2004,Exited,17/08/2016,120000000
MyOwnDoc,2015/11/10,41999,28/05/2015,Dead,17/03/2017,0
Myflo,2014/7/21,86000,30/04/2012,Dead,11/05/2017,0
Myflo,2012/10/11,97163,30/04/2012,Dead,11/05/2017,0
MymCart,2012/2/10,475024,27/07/2011,Dead,15/07/2015,0
MymCart,2013/5/1,349884,27/07/2011,Dead,15/07/2015,0
Myna,2012/10/17,33150,01/10/2012,Dead,01/09/2016,0
Myyfeed,2012/12/22,20000,21/12/2012,Dead,18/03/2019,0
Myyfeed,2013/3/27,30000,21/12/2012,Dead,18/03/2019,0
Myyfeed,2013/9/24,35000,21/12/2012,Dead,18/03/2019,0
NG Energy,2015/5/27,310005,21/03/2013,Dead,23/11/2016,0
NG Energy,2015/11/30,224978,21/03/2013,Dead,23/11/2016,0
NGenTec,2012/11/12,1202727,19/03/2009,Dead,08/03/2017,0
NGenTec,2010/12/6,2100049,19/03/2009,Dead,08/03/2017,0
NGenTec,2011/3/5,200026,19/03/2009,Dead,08/03/2017,0
NMT Group,2018/8/13,100000,18/07/2018,Dead,24/12/2019,0
NTQ-Data,2012/11/22,80308,09/01/2008,Dead,19/02/2019,0
NY Fold,2016/4/26,68603,12/12/2013,Dead,22/02/2019,0
NY Slice,2015/1/19,60000,22/12/2014,Dead,30/11/2017,0
Nameloop,2013/10/29,50000,14/03/2012,Dead,20/11/2017,0
Nameloop,2014/8/1,150006,14/03/2012,Dead,20/11/2017,0
Nameloop,2015/6/10,42003,14/03/2012,Dead,20/11/2017,0
Nanna Therapeutics,2014/12/10,469079,12/12/2012,Exited,21/04/2020,12000000
Nannotec,2011/8/26,285004,15/09/2004,Dead,10/05/2015,0
NanoFlex,2012/6/18,145497,30/01/2008,Dead,15/10/2019,0
NanoFlex,2014/4/9,120400,30/01/2008,Dead,15/10/2019,0
NanoFlex,2013/3/27,89250,30/01/2008,Dead,15/10/2019,0
Nanotech Coatings UK,2014/10/6,11467,13/09/2013,Dead,13/10/2016,0
Nanotether,2012/8/2,849999,11/01/2012,Exited,27/04/2017,256000
Nanotether,2013/7/2,595004,11/01/2012,Exited,27/04/2017,256000
Nanotether,2014/1/21,804994,11/01/2012,Exited,27/04/2017,256000
Narrato,2013/11/29,26935,17/09/2012,Dead,03/02/2017,0
Nascent Training,2015/11/13,25000,01/06/2015,Dead,02/05/2019,0
Nascent Training,2015/9/16,8000,01/06/2015,Dead,02/05/2019,0
Natromi,2016/11/2,10000,15/10/2015,Dead,16/11/2017,0
Natter,2015/2/24,150000,03/08/2007,Dead,04/09/2018,0
Natter,2016/4/20,10182,03/08/2007,Dead,04/09/2018,0
