Beauhurst company URL,Beauhurst deal URL,Company name,Deal date,Verified investment amount (converted to GBP),Amount raised (converted to GBP)
https://platform.beauhurst.com/company/6rtptc/,https://platform.beauhurst.com/transaction/fundraising/aua2/,FromVineyardsDirect,2015/1/27,127423,127423
https://platform.beauhurst.com/company/tvpgef/,https://platform.beauhurst.com/transaction/fundraising/jubu/,Pizza Rossa,2014/8/23,382528,382527.6
https://platform.beauhurst.com/company/n2r5vh/,https://platform.beauhurst.com/transaction/fundraising/td5n/,Ccuoco,2015/3/31,60000,60000
https://platform.beauhurst.com/company/umj3dn/,https://platform.beauhurst.com/transaction/fundraising/q7pc/,TreatTicket,2015/5/6,129999,129999.0313
https://platform.beauhurst.com/company/54c2iq/,https://platform.beauhurst.com/transaction/fundraising/j9e9/,LocaFizz,2015/5/7,25000,24999.99651
https://platform.beauhurst.com/company/dqfdyq/,https://platform.beauhurst.com/transaction/fundraising/bghx/,CornerDrop,2015/5/18,50730,55353
https://platform.beauhurst.com/company/z49ptp/,https://platform.beauhurst.com/transaction/fundraising/jmk3/,No More Filing,2015/4/12,,34691
https://platform.beauhurst.com/company/2nswiz/,https://platform.beauhurst.com/transaction/fundraising/4wie/,Frigesco,2013/6/23,249998,250000
https://platform.beauhurst.com/company/2nswiz/,https://platform.beauhurst.com/transaction/fundraising/2dpb/,Frigesco,2013/10/23,511243,511243.1598
https://platform.beauhurst.com/company/izpytd/,https://platform.beauhurst.com/transaction/fundraising/hybj/,Haircvt,2015/6/2,196308,206300
https://platform.beauhurst.com/company/p7qet3/,https://platform.beauhurst.com/transaction/fundraising/87z8/,Style Pilot,2012/2/3,121988,122000
https://platform.beauhurst.com/company/p7qet3/,https://platform.beauhurst.com/transaction/fundraising/7jfj/,Style Pilot,2012/12/14,153674,150000
https://platform.beauhurst.com/company/p7qet3/,https://platform.beauhurst.com/transaction/fundraising/e5kx/,Style Pilot,2014/12/17,84849,84848.712
https://platform.beauhurst.com/company/p7qet3/,https://platform.beauhurst.com/transaction/fundraising/xyjw/,Style Pilot,2014/2/1,,133000
https://platform.beauhurst.com/company/yvzwz8/,https://platform.beauhurst.com/transaction/fundraising/kcpe/,Orbona,2012/5/8,243009,243009.3901
https://platform.beauhurst.com/company/yvzwz8/,https://platform.beauhurst.com/transaction/fundraising/ucdb/,Orbona,2013/7/1,1195579,1195578.966
https://platform.beauhurst.com/company/rr4txz/,https://platform.beauhurst.com/transaction/fundraising/gmt8/,Shaken Cocktails,2015/3/6,118690,121110
https://platform.beauhurst.com/company/yvzwz8/,https://platform.beauhurst.com/transaction/fundraising/4hm6/,Orbona,2014/8/31,312108,312107.874
https://platform.beauhurst.com/company/izpytd/,https://platform.beauhurst.com/transaction/fundraising/g7j3/,Haircvt,2014/7/8,150000,149999.85
https://platform.beauhurst.com/company/ar5x45/,https://platform.beauhurst.com/transaction/fundraising/h3ka/,Delivery Cube,2015/2/13,150000,151350
https://platform.beauhurst.com/company/6xyu23/,https://platform.beauhurst.com/transaction/fundraising/xfd8/,PocketFM,2013/8/8,25000,25755.51999
https://platform.beauhurst.com/company/6xyu23/,https://platform.beauhurst.com/transaction/fundraising/zri8/,PocketFM,2014/3/21,149493,149493.1472
https://platform.beauhurst.com/company/trvd4i/,https://platform.beauhurst.com/transaction/fundraising/3fmd/,Veryan Medical,2010/3/9,6261250,6261250
https://platform.beauhurst.com/company/mvucbf/,https://platform.beauhurst.com/transaction/fundraising/vhsn/,Endava,2012/11/8,74250,74250
https://platform.beauhurst.com/company/mvucbf/,https://platform.beauhurst.com/transaction/fundraising/bzn4/,Endava,2015/3/27,975730,975730.5
https://platform.beauhurst.com/company/hz9zwy/,https://platform.beauhurst.com/transaction/fundraising/c2r4/,Y-Cam,2015/5/22,1000000,999999.5961
https://platform.beauhurst.com/company/ft64e4/,https://platform.beauhurst.com/transaction/fundraising/cxbd/,TAG Energy Solutions,2013/6/28,2960143,2960143
https://platform.beauhurst.com/company/ft64e4/,https://platform.beauhurst.com/transaction/fundraising/rdbs/,TAG Energy Solutions,2012/11/19,3406975,3406975
https://platform.beauhurst.com/company/ft64e4/,https://platform.beauhurst.com/transaction/fundraising/6wu5/,TAG Energy Solutions,2010/11/25,1050000,1050000
https://platform.beauhurst.com/company/gjxrs9/,https://platform.beauhurst.com/transaction/fundraising/yya6/,Linkdex,2009/10/12,,605000
https://platform.beauhurst.com/company/gjxrs9/,https://platform.beauhurst.com/transaction/fundraising/r5u2/,Linkdex,2010/8/9,2777245,2777244.511
https://platform.beauhurst.com/company/gjxrs9/,https://platform.beauhurst.com/transaction/fundraising/45gu/,Linkdex,2012/6/7,2574113,2574113.479
https://platform.beauhurst.com/company/gjxrs9/,https://platform.beauhurst.com/transaction/fundraising/6jbu/,Linkdex,2014/11/28,3264254,3264253.707
https://platform.beauhurst.com/company/esdagf/,https://platform.beauhurst.com/transaction/fundraising/i344/,WeTRAIN,2015/6/2,1000001,1000000
https://platform.beauhurst.com/company/ihut26/,https://platform.beauhurst.com/transaction/fundraising/tyfu/,Quovai,2013/7/5,15000,15000
https://platform.beauhurst.com/company/ihut26/,https://platform.beauhurst.com/transaction/fundraising/jahu/,Quovai,2015/2/2,15050,15050
https://platform.beauhurst.com/company/esdagf/,https://platform.beauhurst.com/transaction/fundraising/fjj6/,WeTRAIN,2012/6/29,152622,150000
https://platform.beauhurst.com/company/esdagf/,https://platform.beauhurst.com/transaction/fundraising/tsk5/,WeTRAIN,2013/11/12,46379,46379.24
https://platform.beauhurst.com/company/s7cdn6/,https://platform.beauhurst.com/transaction/fundraising/bwky/,Otti Prams,2015/6/3,89252,89310
https://platform.beauhurst.com/company/fwzr8s/,https://platform.beauhurst.com/transaction/fundraising/5866/,Bet Trade,2014/4/3,150000,149999.9787
https://platform.beauhurst.com/company/fwzr8s/,https://platform.beauhurst.com/transaction/fundraising/mnx6/,Bet Trade,2015/1/27,75002,75001.70846
https://platform.beauhurst.com/company/ypjbcn/,https://platform.beauhurst.com/transaction/fundraising/ybxy/,Titan IC Systems,2015/6/2,850000,850000
https://platform.beauhurst.com/company/kca8aj/,https://platform.beauhurst.com/transaction/fundraising/5b8d/,Gunjin Games,2014/11/14,180012,180012.4
https://platform.beauhurst.com/company/kca8aj/,https://platform.beauhurst.com/transaction/fundraising/4fcs/,Gunjin Games,2015/7/30,634942,833437.8016
https://platform.beauhurst.com/company/tmj4eu/,https://platform.beauhurst.com/transaction/fundraising/bidv/,Yocuda,2015/6/3,432063,400000
https://platform.beauhurst.com/company/hufgdu/,https://platform.beauhurst.com/transaction/fundraising/972d/,FreedMan,2014/12/2,,900037
https://platform.beauhurst.com/company/gc6akw/,https://platform.beauhurst.com/transaction/fundraising/8jnp/,My Vote,2013/12/2,150000,150000
